nom,latitude,longitude,adresse
Studio J Bergerac,44.849763,0.484432,"18 Rue Neuve d'Argenson, Bergerac"
FLASH POLE DANCE,43.745076,4.206762,"15 Rue Du Puech, 30310 Vergèze"
Krazy Pole Studio,43.524754,-1.491171,"4 Rue Paul Biremont, Boucau"
Le pol'isson,47.471162,-0.551826,Angers
LE STUDIO PRIVÉ - Chambly 95 60. - Entre l’Oise et le Val d’oise,49.166048,2.30078,Bernes-sur-Oise
BLACK SUN STUDIO,43.490601,-1.388922,"130 All. du Four à Chaux, 64990 Lahonce"
Le Vortex Studio Aérien - Pole &amp; Cerceau,48.754403,2.506081,Boissy-Saint-Léger
Pole Position Marseille,43.305868,5.401809,13004 Marseille
La Bulle Aérienne Clisson,47.082268,-1.286656,"20 Cr des Marches de Bretagne, Clisson"
Studio UP IN THE AIR,44.550856,4.748318,"9 Avenue Jean Jaurès, 26200 Montélimar"
Skin Pole Dance studio,48.765475,2.058169,"30 Avenue Robert Surcouf, Voisins-le-Bretonneux"
Studio Zotia,45.344253,5.207738,"322 Impasse des Alpes, Marcilloles, France"
Studio Spin’n Flow,45.61372,5.271525,"44 Rue Pré-Tillon, 38300 Bourgoin-Jallieu"
Pole Dance Poitiers,46.539724,0.401926,"41 Rue des Artisans, Mignaloux-Beauvoir"
Majestic Studio,45.741532,3.198177,Cournon-d'Auvergne
Pole Dance Orléans,47.89335,1.916107,"15 Rue du Général de Gaulle, Saint-Jean-le-Blanc"
Studio Javanica - Pole Dance à Rouen,49.438933,1.097477,"33 Rue Alsace Lorraine, 76000 Rouen"
L’Aérial Studio,43.878385,5.835122,Volx
Cours de pole-dance,43.547114,3.987189,"150 Avenue Grassion Cibrand, Mauguio"
La Pole Buissonnière,42.937653,1.851472,Lavelanet
Pole Zen Studio école de Pole Dance Miribel,45.825332,4.956467,"1302 Grande Rue, Miribel"
Pole Dancing studio Porto Vecchio,41.60534,9.277343,"Avenue de Bastia, Porto-Vecchio"
Crescent Moon Studio,50.623252,3.144265,Villeneuve-d'Ascq
Mel'Aerial Pole Dance,46.757306,2.398532,"15 Rte de Lignieres, Farges-Allichamps"
ARENA POLE STUDIO,45.741873,3.08913,"13 Rue Enrico Fermi, 63540 Romagnat"
Pole And Dance Passion Bourges,47.083732,2.407494,"62 Rue Charlet, Bourges"
Studio Pole dance Libramont,49.91923,5.378243,"Libramont, Libramont-Chevigny, Belgique"
Studio Pole Dance The Pole Dream,43.537727,6.464993,Draguignan
Pole Dance ANDORRA,42.50705,1.520091,"Carrer Antic Carrer Major, 15, Andorre-la-Vieille, Andorre"
Momentum Studio,48.58499,7.744145,"7 Rue du Noyer, Strasbourg"
Pole dance Niort,46.301639,-0.494532,"18 Rue des Charmes, Bessines"
BETY POLE,48.856193,2.716324,Conches-sur-Gondoire
Vice vers'art,43.458611,2.004573,Revel
Around The Pole Rodez,44.37482,2.539494,"8 Rue des Charpentiers, Rodez"
Vertical fit - pole dance Angoulême,45.64695,0.170351,"171 Rue de Périgueux, Angoulême"
Leensquad mouries,43.693447,4.85474,"Route de Maussane, Mouriès"
Pole Dance Réunion Saint Pierre,-21.341016,55.469929,"79 Rue du Four à Chaux, Saint-Pierre 97410, La Réunion"
Pole Dance Réunion Saint Gilles,-21.051139,55.22553,"85 Rue du General de Gaulle, Saint-Gilles les Bains, Saint-Paul, La Réunion"
Pole &amp; The Gang,43.293276,5.373751,"3 Rue Fortia, Marseille"
POLEMIC STUDIO,47.393527,0.745198,"19 Rue de la Morinerie, Saint-Pierre-des-Corps"
Dancing Color'S,47.790629,-3.27578,"16 Rue de la Villeneuve du Parco, Hennebont"
Pole and Dance Paris 13,48.825611,2.369681,"54 Rue du Château des Rentiers, 75013 Paris"
Pole and Dance Paris 10,48.87284,2.371136,"208 Rue Saint-Maur, 75010 Paris"
Pole &amp; Motion,48.880552,2.418881,"44 Rue de Paris, Les Lilas"
L'atelier Aérien,45.810307,1.266404,"32 Rue de Tourcoing, 87000 Limoges"
Studio de pole dance Pole Sweet Pole,43.183824,2.939291,"232 Avenue de Louate, Montredon-des-Corbières"
Studio Pole Dance 85,46.730689,-1.434433,"9 Rue du Moulin des Oranges, Le Poiré-sur-Vie"
Pole dance cours collectifs,49.145922,0.227849,Lisieux
Psyché studio,49.448056,1.09791,"64 Boulevard de l'Yser, Rouen"
Urban Shape,46.212488,6.137487,"Rue du Grand-Pré 9, Geneva, Switzerland"
Pole and flow,43.782628,4.081562,"25 Rue de la Chaudiere, 30250 Sommières"
Acropole Lyon,45.74997,4.831225,"45 Quai du Docteur Gailleton, 69002 Lyon"
Pole dance Blagnac,43.655027,1.369149,"10 Avenue d'Andromède, Blagnac"
Enjoy pole dance (chez sportons nous bien),50.694472,1.592795,20 chemin des vingt mesures 62230 Outreau
POLESSENTIEL,50.623176,5.15535,"Rue de la Rue 4, Braives, Belgique"
A-L' Pole Dance &amp; Co,45.667273,-0.941934,"Allée de la Pointe, Saujon"
Ecole de pole dance et d'aériens à Lille,50.636223,3.097581,"58 Rue des Montagnards, Lille"
Pole Expression,47.558628,7.507415,Buschwiller
Ecole de pole dance et d'aériens à Lille,50.62127,3.074062,"50 Rue Jean Jaurès, Lille"
Ananta Studio,42.703429,3.020562,"23 Av. Guy Drut, Canet-en-Roussillon"
Poleness Factory,48.684847,2.330227,"4 Place Beaumarchais, 91600 Savigny-sur-Orge"
Ecole de Cirque - Home Patoche Compagnie,45.349297,4.820974,"50 Rue de la Rebatière, Salaise-sur-Sanne"
Pole dance Dordogne,45.185491,0.713424,"8 Rue Thiers, 24000 Périgueux"
Verticale Zone,46.396778,6.507488,"5 Rue de champerges, Thonon-les-Bains"
Entre Filles Danse Pole Aérien,45.242908,4.671977,"32 Rue Sadi Carnot, Annonay"
Flying pole dance,43.265011,6.551454,"501 Avenue de l'Héliport, Grimaud"
Pole Dance Marseille,43.292282,5.372977,"35 Rue de la Paix Marcel Paul, Marseille"
Pollux Pole Dance Studio,43.194413,-0.605292,Oloron-Sainte-Marie
Miss-Pole Toulouse,43.605498,1.445789,"36 Rue d'Alsace Lorraine, 31000 Toulouse"
Pole dance Reims,49.216752,4.074581,"4 Rue Bernard Palissy, Taissy"
Pole Game Metz,49.077836,6.183941,"4 Rue de Pouilly, Metz"
Pole Dance Troyes,48.28727,4.066686,"26 Rue Jules Didier, Saint-André-les-Vergers"
Pole Circus Nord,50.602668,3.078595,"49 Avenue Jean Jaurès, 59790 Ronchin"
Studio Polefit Cergy,49.040869,2.078558,"12 Rue des Chauffours, Cergy"
Ecole Pole Dance &amp; Cerceau aérien à Noisiel,48.846079,2.613943,"7 Cours des Roches, Noisiel"
Candy Pole,47.030066,5.323235,"30 Avenue de la Gare, Saint-Aubin"
Le Polyspace - association R'mue-toi !,49.096755,0.624715,Menneval
Ecole pole dance aysha,45.662963,4.953204,Mions
Fly And Danse Studio,48.898912,2.30334,"29 Rue Henri Barbusse, Clichy"
Pole Cinz' Passion,43.113834,5.844574,"425 Rue du Commerce, 83140 Six-Fours-les-Plages"
Studio Pole Sud,43.294991,5.397411,"133 Rue du Camas, 13005 Marseille"
POLE DANCE TOURS,47.405477,0.728635,"1 Quai de la Loire, Rochecorbon"
Pole And Dance Passion Mehun,47.145637,2.217346,Mehun-sur-Yèvre
I Sense Studio,50.698895,4.558518,"Rue Joséphine Rauscent 132, Wavre, Belgique"
POLE DANCE NIMES,43.818378,4.319253,"603 Avenue du Docteur Fleming, 30900 Nîmes"
POLE ART FACTORY Nevers agglomération,47.010727,3.165768,"Rue des Hâtées, Coulanges-lès-Nevers"
Ori Bird Lorient,47.756859,-3.389339,"6bis Rue Georges Brassens, Lorient"
LE STUDIO PRIVE - Domont -La plus grande école de pole dance - cerceau aérien du Val d’Oise,49.026953,2.344216,"43 Avenue de l'Europe, Domont"
Jess Pole Studio,50.644661,5.499763,"Rue Joseph Dejardin 22, 4460 Grâce-Hollogne, Belgique"
Crazy ladies Morlaix,48.577613,-3.828228,Morlaix
Crazy ladies Brest,48.382892,-4.519102,"2 Rue Valentin Hauy, Brest"
BP STUDIO - Ecole de danses aériennes - Depuis 2014,48.266196,2.681118,Saint-Pierre-lès-Nemours
Passion POLE DANCE,44.137399,6.140655,"1211 Chemin des Banons, 04380 Thoard"
Pole &amp; Heels,45.866448,4.719614,"ZAC des Îles, 180 All. des Tropiques, Marcilly-d'Azergues"
AT HOME Pole studio,47.066438,2.387037,"130 Avenue de Saint-Amand, 18000 Bourges"
Studio Angiepoleuse,48.275746,2.691306,"Rue du Loing, 77140 Saint-Pierre-lès-Nemours, France"
Pole Dance Paris,48.851598,2.40234,"42 Rue d'Avron, 75020 Paris"
Pole Dance Sensations Rouen centre,49.440669,1.086943,"16 Rue Saint-Eloi, 76000 Rouen"
Pole par nature,43.628908,1.184167,"2144 Avenue de Bouconne, 31530 Lasserre-Pradère"
Vertical Fit,45.887543,0.899963,"8 Rue Jean Jacques Rousseau, 87200 Saint-Junien"
L'atelier aérien,45.810307,1.266404,"32 Rue de Tourcoing, 87000 Limoges"
STAMS Studio,44.838373,-0.536082,"67 Rue de la Paix, 33270 Floirac"
Stelia Dance &amp; Pole,43.615306,6.961324,"914 Route de Pegomas, 06370 Mouans-Sartoux"
Pole Dance Toulon Centre De Danse Vinogradoff,43.137119,5.914516,"565 Avenue Général Gouraud, Toulon"
Liv U Pole,43.187745,2.998829,"7 Rue du Commerce, 11100 Narbonne"
Pole Dance La Rochelle,46.160758,-1.2166,"126 Boulevard Emile Delmas, 17000 La Rochelle"
Pole Dance 85,46.630208,-1.509698,"Les Clouzeaux, Aubigny-Les Clouzeaux"
Fly In Pole,45.984696,4.722897,"76 Rue Lamartine, 69400 Villefranche-sur-Saône"
Spin Me Round Studio,45.767803,4.837339,"5 Rue Joseph Serlin, Lyon, France"
DodiePole,46.344651,5.124989,"390 Route Bresse Cocagne, Jayat"
Flash Pole Dance,43.902135,4.102428,"7 Impasse du Gourdimau, 30260 Montmirat"
Evolution Pole Dance,45.578107,-0.546989,17800 Pons
MILIE’DANCE by Marie,44.768857,-0.435086,"Zone d'activité le Limancet, Saint-Caprais-de-Bordeaux, France"
IZ Pole Dance (Saint-Jean-de-Luz),43.384662,-1.656884,"16 Rue de la Rhune, 64500 Saint-Jean-de-Luz"
IZ Pole Dance (Bayonne),43.496435,-1.485668,"34 Boulevard du BAB, 64100 Bayonne"
Pole Dance Forever Crolles,45.272888,5.89116,"326 Rue des Sources, Crolles, France"
Pole Dance Sun,43.499243,5.377892,"165 Chemin de la Valette, 13290 Aix-en-Provence"
Pole Dance Sensations Melun Gare,48.528151,2.656986,"30 Avenue de la Libération, Melun"
Mél'In&amp;Co Pole dance,45.591141,5.901379,"1097 Avenue des Landiers, 73000 Chambéry"
Electrick Pole Studio,44.838404,-0.57001,"9 Rue du Palais de l'Ombrière, 33000 Bordeaux"
Pole Dance Centre,47.946271,1.899425,"187 Rue de la Chenille, 45770 Saran"
Pole Dance Orléans ( St Jean le Blanc),47.89335,1.916107,"15 Rue du Général de Gaulle, 45650 Saint-Jean-le-Blanc, France"
Pole Dance Orléans (Beaugency),47.776732,1.629661,"20 Rue du Chat Qui Dort, 45190 Beaugency, France"
Studio La Milie,45.741136,4.855093,"201 Av. Berthelot, Lyon"
Expendapole studio,45.719343,4.889292,"1 Ancienne Route d'Heyrieux, Vénissieux, France"
Le Jade Studio (Châteauneuf-du-Faou),48.186754,-3.813939,"15 Place de la Résistance, 29520 Châteauneuf-du-Faou"
Le Jade Studio (Brest),48.396642,-4.481529,"17 Rue Danton, 29200 Brest"
Wave Pole Studio Biarritz,43.461771,-1.53996,"14 Rue des Mésanges, Biarritz"
Wild Pole Studio (Magenta),48.869717,2.361656,"7 Boulevard de Magenta, 75010 Paris"
Wild Pole Studio (St Martin),48.868802,2.357864,"8 Boulevard Saint-Martin, 75010 Paris"
Studio So Pole&amp;Dance,43.701632,7.267085,"27 Avenue Jean Médecin, Nice"
Brava Pole Dance Studio Le Tréport,50.060203,1.372346,"12 Rue de la Commune de Paris, 76470 Le Tréport"
O Pole Studio Beauvais,49.413111,2.13163,"36 Rue des 40 Mines, 60000 Beauvais"
O Pole Studio Compiègne,49.417503,2.827454,"1 Place Saint-Jacques, 60200 Compiègne"
O Pole Studio Chantilly,49.184242,2.461422,"1 Avenue de Sylvie, 60500 Chantilly"
O Pole Studio Saint-leu-la-forêt,49.005717,2.250709,"6 Rue Jules Verne, Saint-Leu-la-Forêt"
Pole Hit,49.055162,2.064841,"35 Rue des Beaux Soleils, 95520 Osny"
L'art des Airs,45.045232,3.873953,"38 Avenue du Puy, Espaly-Saint-Marcel"
Pole Dance Clermont-Ferrand,45.785319,3.129167,"16 Rue des Frères Lumière, Clermont-Ferrand"
Studio cocoon,47.750839,7.335888,Mulhouse
Art&amp;Fitness Studio - Carcassonne,43.215803,2.32617,"6 Rue Charles Augustin Coulomb, 11000 Carcassonne"
Studio Pole Fitness,48.849075,2.429683,"2 Bis Rue des Deux Communes, Vincennes"
Rise Up Studio,46.848337,0.535639,"1 Rue des Vergnes, Antran"
Hit Pole Roanne,46.042563,4.073111,"5 Rue Albert Thomas, Roanne"
Les Désaxés,48.728279,4.585501,"12 Rue Saint-Michel, 51300 Vitry-le-François, France"
Studio Accropole,47.756859,-3.388958,"6 Rue Georges Brassens, Lorient"
L'Envolée Pole Dance Studio,45.188388,5.775891,"7 Rue du Pré Cornu, Gières"
Shana pôle dance,49.148776,-0.375235,Fleury-sur-Orne
L’ATELIER Pole Studio,47.775836,-1.278033,"6 Place de l'Église, Villepot"
Spin Or Tricks Pole Dance Lyon,45.762647,4.835046,"14 Rue Palais Grillet, Lyon"
50 Nuances de pole studio,49.891678,2.292021,"1 Rue du Maréchal de Lattre de Tassigny, 80000 Amiens"
POLE DANCE Roanne,46.030487,4.074751,"60 Rue Jean Moulin, 42300 Roanne"
Studio Dance Attitude,49.029295,1.149013,"33 Rue Isambard, 27000 Évreux"
Pole Dance Dijon,47.314425,5.078306,"64B Rue Sully, 21000 Dijon"
Centre de danse Habel,46.205846,5.237331,"1 Rue des Dîmes, Bourg-en-Bresse"
Pole &amp; Aerial Box,45.156236,5.756685,"Avenue Champ Fila, 38320 Poisat"
Studio Aerial 24,45.137402,0.785641,Boulazac Isle Manoire
Pole Dance 04,44.044841,6.029483,Malijai
AERIAL ART STUDIO Mallemort / Salon de Provence / Rognac,43.730447,5.178728,"11 Boulevard Edgard Mouton, Mallemort"
Flying Butterfly Pole,45.373685,4.796857,"18 Place Paul Morand, Le Péage-de-Roussillon"
NM Pilates &amp; Pole,42.619889,9.445044,"20620 Biguglia, France"
L'm pole dance studio,44.904239,4.917437,"142 Route de Crest, Valence"
Pole Dance Nancy,48.710781,6.1686,"18 Rue Lafayette, 54320 Maxéville"
la petite sauvagère studio,48.454366,-2.047327,Dinan
Studio de pole dance à Centr'Alp,45.351628,5.591471,"10 Impasse Ruby, Voiron"
Pole Fiction Studio,43.617659,1.419501,"29 Boulevard de Genève, Toulouse"
Altitude Pole Studio,45.67803,6.393443,"3bis Rue Bugeaud, Albertville"
POLE DIAMOND 43,45.291562,4.161079,"Rue Henri Pourrat, Monistrol-sur-Loire"
Pole dance 65,43.232951,0.078082,Tarbes
Pole Dance Caen-Sarah Szafir,49.182863,-0.370679,Caen
Pole Dancin'Side,43.570514,1.420807,"9 Rue Louis Courtois de Viçose, Toulouse"
POLE DANCE ADDICT FITNESS,48.55141,3.01438,"22 Rue des Écoles, 77370 Nangis"
Doga Studio,43.605051,6.697941,"338 Route de Cambarras, 83440 Tourrettes"
Around the Pole - Studio de Pole Dance secteur Brumath/Haguenau,48.705952,7.763191,"6 Rue des Meuniers, Geudertheim"
O Pole Studio Montmélian,45.498915,6.059333,"1 Rue de la Chaîne, Montmélian"
Gravity studio,45.784079,5.025117,"8 Rue Salvador Allende, Meyzieu"
Celestial Pole,42.784598,2.88355,"18 Rue des Caroubiers, Rivesaltes"
Luz Pole Studio,42.481948,2.777726,"739 Chem. Rene Delseny, 66400 Céret"
Le Complexe,43.70559,4.270163,"204 Av. du Midi, Vauvert"
Brasil Butterfly Studio Chambéry,45.555152,5.974748,"Rond-Point du Puits d'Ordet, 73190 Challes-les-Eaux"
Lady Pole Dance,49.519919,5.761773,Longwy
POLE DANCE COTE BASQUE,43.514168,-1.499169,"23 Promenade du Prince Impérial, Anglet"
École PoleDance &amp; BienEtre,43.288864,5.622836,"1476 Chem. de la République, 13420 Gémenos"
Olgapolendance studio Auxerre,47.795395,3.567104,"3 Rue d'Égleny, Auxerre"
Pole Dance Strasbourg,48.559938,7.745244,"14a Rue du Maréchal Lefebvre, 67100 Strasbourg"
Elo Pole Studio,45.822917,1.257008,"89 Avenue Baudin, Limoges"
Les fondues de la pole,45.564601,5.917781,Chambéry
Codebarre Divonne,46.343772,6.138977,"122 Rue de la Versoix, Divonne-les-Bains"
Codebarre Ségny,46.29774,6.073653,"501 Route Blanche, Ségny"
Jem'Pole Passion,44.88255,2.346249,Sansac-de-Marmiesse
Studio Coaching and Pole Monaco,43.728101,7.413425,"2 Rue du Gabian, Monaco"
PINAPOLE Ecole de Pole dance et Arts aériens à Grenoble,45.184144,5.720206,"2 Rue Charles Testoud, 38000 Grenoble"
MULTIDANSES,44.937916,4.897311,"7 Avenue de Verdun, Valence"
Asanakene Grip &amp; Fly,44.944816,4.841903,Saint-Péray
Wild Pole Studio (Ste Apolline),48.868816,2.355013,"2 Rue Sainte-Apolline, Paris"
Pam&amp;Polette,47.236436,-1.505489,"8 Boulevard du Manoir Saint-Lô, 44300 Nantes"
Le Spicy Studio,47.394144,0.68484,Tours
Dragon Pole Dance Montbéliard,47.508143,6.803188,"14 Avenue Carnot, Montbéliard"
Dragon Pole Dance Besançon,47.24498,6.035486,"6 Boulevard Diderot, Besançon"
Opale Pole Dance,50.517971,1.632749,"5 Rue des Carrières, Étaples"
Aerial Studio Albi,43.866123,2.186473,"Rouzadou, Puygouzon"
Pole Club,44.536047,3.497542,"Za d'alteyrac 48000 Mende, France"
Studio Fly in move,45.607143,4.082572,42600 Savigneux
S³ ASSO 47,44.133329,0.33856,"Rue Faudouas, Nérac"
Acrobatik Dance,45.893088,3.11187,"17 Rue Hippolyte Gomot, Riom"
Cours de pole dance,44.150084,6.149186,Thoard
Pole par Nature,43.628908,1.184167,"2144 Avenue de Bouconne, Lasserre-Pradère"
Studio Pole In Provence,43.591912,5.126824,Lançon-Provence
Accro de pole,45.851149,5.066324,Dagneux
DANSE LA POLE,45.433013,4.322825,Roche-la-Molière
Pulse - Pole &amp; Fitness,49.97066,5.634185,"Sibret, Vaux-sur-Sûre, Belgique"
Be pole and yoga Wavre,50.717471,4.609582,"Rue du Béguinage 2, Wavre, Belgique"
Artflow Studio,47.27139,-1.520706,"26 bis Rue de la Planche au Gué, 44300 Nantes"
Pole Fusion Va,50.328878,3.522764,Aulnoy-Lez-Valenciennes
Pole dance 65,43.091463,-0.045726,Lourdes
STUDIO POLE AIR,43.832887,4.947061,"1 Rte RD 7n, Saint-Andiol"
Studio Aerial Good Vibes,43.136578,5.98114,"179 Avenue Doct Tremolières, La Valette-du-Var"
Pole Alchimie,50.746881,3.241203,"Boulevard Industriel 84, Mouscron, Belgique"
Upside Down Rennes,48.10727,-1.732511,"4 Rue du Lieutenant Colonel Dubois, Rennes"
Pole Dance &amp; Pole Sport Cannes,43.561139,7.021354,"153 Boulevard de la République, 06400 Cannes, France"
POLE &amp; SMILE,43.922774,5.018749,"35 Avenue de la Cigalière, Le Thor"
L’Entrepole Danses,43.962905,4.741783,"Allée du Couchant, Les Angles"
Atelier Pole Passion,47.468607,-0.495751,Saint-Barthélemy-d'Anjou
Eagle Pole Studio Le Mans,48.015859,0.333,"20 Rue Gustave Eiffel, Champagné"
Pole-Holic Studio,48.955768,2.885288,"26 Rue de la Crèche, Meaux"
SQUAT &amp; BARRE TOI,50.61635,2.966547,"73 Rue Emile Zola, 59320 Hallennes-lez-Haubourdin"
Le Papillon Pole Dance Studio,43.514154,1.521076,"1 Chemin du Canal au Pont de Tuile, Castanet-Tolosan"
Pole Dance and Co,43.547929,1.50555,"71 Rue Ampère, Labège"
Crazy Pole Studio,50.429591,2.832129,"21 Rue Bayard, Lens"
Pole dance stars,43.492965,3.703416,"8 Rue de Copernic, 34770 Gigean"
Passion Pole Dance,45.036801,5.062519,"26 Rue Baptiste Marcet, 26300 Bourg-de-Péage"
Dedey pole dance,43.405033,5.939196,"8 Rue des Oliviers, Tourves"
Studio Upside Danse,43.74467,5.084453,"Avenue de la Capelette, Sénas"
Lov'in Pole,45.13813,5.518987,"38112 Autrans-Méaudre en Vercors, France"
Plum Aérien,44.378289,4.644788,"14 Rue Marius Vincent, Bourg-Saint-Andéol"
In da house,43.438051,6.723101,"298 Avenue lou Gabian, Fréjus"
Pole Spirit Paris,48.850489,2.285553,"3 Rue Robert de Flers, 75015 Paris"
Pole Dance Addict Meylan,45.203088,5.766789,"11 Boulevard des Alpes, 38240 Meylan"
Off’Pole Brive-La-Gaillarde,45.189098,1.588738,"712 rue des Mésanges, 19360 Malemort"
L'Art et Fact Studio,44.858736,-0.56773,"82 Cours du Médoc, Bordeaux"
L'atelier de Manon,43.367151,3.221537,"280 Rue Félix Nadar, Béziers, France"
Studio Leitmotiv,46.102661,6.103804,"Zone Artisanale Juge Guérin, 74160 Beaumont"
Tonic Aerial Center,43.589551,5.478252,"36 Bis Av. de la Grande Bégude, 13770 Venelles"
Illusionist Pole Studio,45.773764,4.832217,"1 Rue des Pierres Plantées, Lyon"
Aéri'Ain Danses Aériennes,45.77633,5.202648,"66 Rue du Petit Godimut, Loyettes, France"
Phoenix Pole Studio,46.148086,4.597323,"105 Route de la Chevaliere, Beaujeu, France"
Envol'Attitude39,46.673383,5.54615,"35 Rue des Salines, Lons-le-Saunier"
ADAPOLEDANCE BY KPOLE,47.593347,1.327035,"4 Rue du Plessis, Blois"
